largeCube3Timestamp;largeCube3XPos;largeCube3YPos;largeCube3newCorr;largeCube3smoothCorr
8.703;-1.340077;2.5;;
8.704;-1.338998;2.5;;
8.705;-1.338799;2.5;;
8.706;-1.338767;2.5;;
8.706;-1.338763;2.5;;
8.726;-1.285618;2.5;;
8.727;-1.285074;2.5;;
8.728;-1.284958;2.5;;
8.748;-1.231771;2.5;;
8.749;-1.231771;2.5;;
8.749;-1.231771;2.5;;
8.75;-1.231771;2.5;;
8.77;-1.178494;2.5;;
8.771;-1.177944;2.5;;
8.772;-1.177854;2.5;;
8.773;-1.177841;2.5;;
8.793;-1.151921;2.5;;
8.794;-1.151651;2.5;;
8.795;-1.151613;2.5;;
8.797;-1.126653;2.5;;
8.81416;;;-0.441315968688127;-0.419968740507094
8.815;-1.071024;2.5;;
8.815;-1.071772;2.5;;
8.816;-1.071137;2.5;;
8.817;-1.071048;2.5;;
8.836;-1.017861;2.5;;
8.837;-1.017277;2.5;;
8.838;-1.017192;2.5;;
8.859;-0.9665942;2.5;;
8.86;-0.9656712;2.5;;
8.861;-0.9650218;2.5;;
8.863;-0.9637173;2.5;;
8.863;-0.9636859;2.5;;
8.883;-0.9105102;2.5;;
8.884;-0.9100308;2.5;;
8.885;-0.9098894;2.5;;
8.885;-0.9098306;2.5;;
8.905;-0.8566034;2.5;;
8.906;-0.8566034;2.5;;
8.927;-0.8027202;2.5;;
8.928;-0.802192;2.5;;
8.929;-0.8021116;2.5;;
8.93;-0.8020838;2.5;;
8.951;-0.7758995;2.5;;
8.951;-0.7758995;2.5;;
8.952;-0.7758995;2.5;;
8.953;-0.7758995;2.5;;
8.972;-0.6967872;2.5;;
8.973;-0.6959234;2.5;;
8.974;-0.6957627;2.5;;
8.975;-0.6957627;2.5;;
8.995;-0.6427161;2.5;;
8.995;-0.6423033;2.5;;
9.004;-0.6420557;2.5;;
9.005;-0.6420503;2.5;;
9.017;-0.5855039;2.5;;
9.039;-0.5346763;2.5;;
9.04;-0.5340979;2.5;;
9.061;-0.4800724;2.5;;
9.062;-0.4800724;2.5;;
9.062;-0.4800724;2.5;;
9.105;-0.4011151;2.5;;
9.106;-0.4007739;2.5;;
9.1099704;;;-0.488355447765904;-0.474599991491041
9.129;-0.3152668;2.5;;
9.13;-0.3150666;2.5;;
9.151;-0.2670511;2.5;;
9.152;-0.266617;2.5;;
9.153;-0.2665072;2.5;;
9.154;-0.2664866;2.5;;
9.174;-0.2129033;2.5;;
9.174;-0.2129033;2.5;;
9.175;-0.2129033;2.5;;
9.195;-0.1604133;2.5;;
9.196;-0.1596324;2.5;;
9.196;-0.1594704;2.5;;
9.197;-0.1591353;2.5;;
9.198;-0.1590778;2.5;;
9.218;-0.1056723;2.5;;
9.219;-0.1056723;2.5;;
9.24;-0.05295957;2.5;;
9.241;-0.05251161;2.5;;
9.242;-0.05237613;2.5;;
9.263;-0.02570068;2.5;;
