large (1)Cube1Timestamp;large (1)Cube1XPos;large (1)Cube1YPos;large (1)Cube1newCorr;large (1)Cube1smoothCorr
7.433265;;;0.335280748867773;-0.109310236404819
7.389;1.204619;0;;
7.39;1.204062;0;;
7.391;1.203963;0;;
7.392;1.203963;0;;
7.411;1.15184;0;;
7.412;1.150878;0;;
7.413;1.150562;0;;
7.413;1.150508;0;;
7.433;1.098167;0;;
7.439;1.097896;0;;
7.44;1.097374;0;;
7.44;1.097317;0;;
7.456;1.064518;0;;
7.456;1.056203;0;;
7.457;1.048246;0;;
7.478;1.016777;0;;
7.478;1.016644;0;;
7.479;0.9963217;0;;
7.498;0.9635546;0;;
7.499;0.9632009;0;;
7.519;0.9097896;0;;
7.52;0.9092388;0;;
7.541;0.8563393;0;;
7.542;0.8558534;0;;
7.562;0.8028774;0;;
7.563;0.8023596;0;;
7.563;0.8025542;0;;
7.564;0.8022863;0;;
7.583;0.7491432;0;;
7.584;0.7485906;0;;
7.584;0.7484962;0;;
7.604;0.6958234;0;;
7.605;0.6952974;0;;
7.606;0.6951613;0;;
7.626;0.6415314;0;;
7.627;0.6415314;0;;
7.649;0.5890882;0;;
7.65;0.5878843;0;;
7.67;0.5347561;0;;
7.7235368;;;0.0177272222432151;-0.131711994233496
7.76;0.3199297;0;;
7.761;0.3194628;0;;
7.781;0.2667941;0;;
7.782;0.2662439;0;;
7.802;0.2115991;0;;
7.803;0.2110651;0;;
7.803;0.2109758;0;;
7.824;0.1599157;0;;
7.826;0.1586857;0;;
7.827;0.1582054;0;;
7.828;0.1581136;0;;
7.848;0.1059401;0;;
7.849;0.1054774;0;;
7.849;0.1052898;0;;
7.85;0.1052898;0;;
7.87;0.05289673;0;;
7.87;0.05229012;0;;
7.871;0.05157832;0;;
7.892;-0.002314039;0;;
7.893;-0.002314038;0;;
7.893;-0.002314038;0;;
7.894;-0.002314038;0;;
7.894;-0.002314038;0;;
7.914;-0.05507722;0;;
7.915;-0.05558514;0;;
7.916;-0.05570701;0;;
7.935;-0.08204618;0;;
7.936;-0.1051295;0;;
7.937;-0.1087368;0;;
7.938;-0.1092523;0;;
7.938;-0.109341;0;;
7.957;-0.1354376;0;;
7.958;-0.1357087;0;;
7.959;-0.1575679;0;;
7.979;-0.1891488;0;;
7.979;-0.1894069;0;;
7.98;-0.1895254;0;;
7.981;-0.2167994;0;;
8;-0.2430695;0;;
8.001;-0.2430695;0;;
8.001;-0.2430695;0;;
8.002;-0.2430695;0;;
8.021;-0.2958846;0;;
8.022;-0.2963685;0;;
8.022;-0.2964182;0;;
8.023;-0.2965793;0;;
8.0248381;;;0.38930730284847;0.0639153647340427
8.021;-0.2958846;0;;
8.022;-0.2963685;0;;
8.022;-0.2964182;0;;
8.023;-0.2965793;0;;
8.042;-0.3496218;0;;
8.043;-0.3496218;0;;
8.043;-0.3496218;0;;
8.044;-0.3496218;0;;
8.063;-0.403267;0;;
8.064;-0.403267;0;;
8.064;-0.403267;0;;
8.065;-0.403267;0;;
8.084;-0.4575743;0;;
8.085;-0.4581032;0;;
8.085;-0.4581915;0;;
8.105;-0.5097399;0;;
8.106;-0.5102251;0;;
8.107;-0.5103766;0;;
8.107;-0.5103766;0;;
8.126;-0.5634103;0;;
8.127;-0.563942;0;;
8.128;-0.5640623;0;;
8.148;-0.6177279;0;;
8.17;-0.6708412;0;;
8.172;-0.6713666;0;;
8.192;-0.6981493;0;;
8.193;-0.7208934;0;;
8.194;-0.724647;0;;
8.194;-0.7264035;0;;
