smallCube3Timestamp;smallCube3XPos;smallCube3YPos;smallCube3newCorr;smallCube3smoothCorr
6.968;2.307636;1;;
6.989;2.263246;1;;
6.991;2.262787;1;;
7.01;2.240851;1;;
7.011;2.24061;1;;
7.012;2.240577;1;;
7.032;2.174358;1;;
7.033;2.173665;1;;
7.055;2.129398;1;;
7.056;2.129045;1;;
7.0758492;;;-0.493015693487155;0.126935011035288
7.076;2.085043;1;;
7.077;2.084991;1;;
7.078;2.083932;1;;
7.079;2.083932;1;;
7.079;2.083932;1;;
7.099;2.039428;1;;
7.1;2.039027;1;;
7.101;2.038916;1;;
7.121;1.994665;1;;
7.122;1.99421;1;;
7.123;1.994133;1;;
7.144;1.950882;1;;
7.144;1.950823;1;;
7.145;1.949826;1;;
7.146;1.949826;1;;
7.146;1.949826;1;;
7.166;1.926944;1;;
7.167;1.926654;1;;
7.168;1.926654;1;;
7.187;1.873249;1;;
7.187;1.872928;1;;
7.188;1.862025;1;;
7.19;1.860255;1;;
7.191;1.860111;1;;
7.211;1.815628;1;;
7.212;1.815069;1;;
7.213;1.815069;1;;
7.213;1.815069;1;;
7.233;1.771024;1;;
7.234;1.770581;1;;
7.235;1.770508;1;;
7.256;1.725412;1;;
7.257;1.725412;1;;
7.257;1.725412;1;;
7.258;1.725412;1;;
7.278;1.680777;1;;
7.279;1.680777;1;;
7.3;1.658862;1;;
7.3;1.648881;1;;
7.301;1.635994;1;;
7.302;1.635994;1;;
7.324;1.612475;1;;
7.331;1.612475;1;;
7.344;1.547917;1;;
7.345;1.53941;1;;
7.346;1.536682;1;;
7.366;1.5241;1;;
7.367;1.51209;1;;
7.368;1.506518;1;;
7.3781506;;;-0.495434044001037;-0.117874555704862
7.387;1.4804;1;;
7.389;1.46247;1;;
7.41;1.434051;1;;
7.411;1.433642;1;;
7.412;1.417167;1;;
7.413;1.413835;1;;
7.434;1.369614;1;;
7.434;1.369515;1;;
7.436;1.368207;1;;
7.437;1.368061;1;;
7.455;1.345692;1;;
7.455;1.345598;1;;
7.456;1.32747;1;;
7.476;1.300877;1;;
7.477;1.300638;1;;
7.478;1.300572;1;;
7.479;1.300554;1;;
7.497;1.2458;1;;
7.498;1.245047;1;;
7.498;1.245047;1;;
7.519;1.211725;1;;
7.519;1.211725;1;;
7.52;1.211725;1;;
7.52;1.211725;1;;
7.521;1.211725;1;;
7.54;1.167685;1;;
7.54;1.167352;1;;
7.541;1.167138;1;;
7.561;1.123311;1;;
7.562;1.122854;1;;
7.563;1.12279;1;;
7.564;1.122772;1;;
7.583;1.078141;1;;
