small (1)Cube1Timestamp;small (1)Cube1XPos;small (1)Cube1YPos;small (1)Cube1newCorr;small (1)Cube1smoothCorr
7.546;1.727027;0;;
7.546;1.726983;0;;
7.547;1.726877;0;;
7.567;1.683845;0;;
7.568;1.683085;0;;
7.589;1.638812;0;;
7.59;1.637204;0;;
7.591;1.637204;0;;
7.591;1.637204;0;;
7.592;1.637204;0;;
7.592;1.637204;0;;
7.611;1.593516;0;;
7.612;1.592746;0;;
7.633;1.539491;0;;
7.634;1.538965;0;;
7.635;1.538881;0;;
7.636;1.538869;0;;
7.636;1.538867;0;;
7.6556258;;;-0.496386616996716;-0.10736025764315
7.656;1.503743;0;;
7.657;1.503311;0;;
7.658;1.503311;0;;
7.658;1.503311;0;;
7.659;1.503311;0;;
7.679;1.45879;0;;
7.68;1.45879;0;;
7.701;1.414328;0;;
7.702;1.413903;0;;
7.702;1.413833;0;;
7.703;1.413797;0;;
7.704;1.413797;0;;
7.704;1.413797;0;;
7.723;1.369411;0;;
7.724;1.369411;0;;
7.744;1.347454;0;;
7.745;1.333091;0;;
7.746;1.324734;0;;
7.747;1.324734;0;;
7.747;1.324734;0;;
7.766;1.30248;0;;
7.768;1.282886;0;;
7.769;1.280744;0;;
7.787;1.257199;0;;
7.787;1.256865;0;;
7.795;1.256865;0;;
7.796;1.2335;0;;
7.808;1.20142;0;;
7.809;1.200924;0;;
