xCubeCube2Timestamp;xCubeCube2XPos;xCubeCube2YPos;xCubeCube2newCorr;xCubeCube2smoothCorr
13.309;-1.727683;0;;
13.333;-1.683145;0;;
13.354;-1.638155;0;;
13.356;-1.637627;0;;
13.356;-1.637627;0;;
13.3726571;;;-0.329925092425128;0.0909730449881037
13.377;-1.593836;0;;
13.379;-1.592773;0;;
13.399;-1.549064;0;;
13.401;-1.54859;0;;
13.421;-1.504495;0;;
13.443;-1.461286;0;;
13.446;-1.459051;0;;
13.465;-1.415315;0;;
13.467;-1.414333;0;;
13.468;-1.414185;0;;
13.488;-1.371042;0;;
13.511;-1.325926;0;;
13.512;-1.325167;0;;
13.513;-1.324981;0;;
13.532;-1.280369;0;;
13.555;-1.236573;0;;
13.557;-1.235735;0;;
13.578;-1.191192;0;;
13.579;-1.190738;0;;
13.58;-1.190671;0;;
13.608;-1.125784;0;;
13.622;-1.102351;0;;
13.624;-1.100887;0;;
13.626;-1.100735;0;;
13.645;-1.057743;0;;
13.668;-1.013828;0;;
13.67;-1.012105;0;;
13.691;-0.9674783;0;;
13.692;-0.9674783;0;;
13.693;-0.9674783;0;;
13.712;-0.9241896;0;;
13.735;-0.8776022;0;;
13.737;-0.8765699;0;;
13.737;-0.8765699;0;;
13.757;-0.8347185;0;;
13.758;-0.8338332;0;;
13.78;-0.7903565;0;;
13.801;-0.7438434;0;;
13.803;-0.7428675;0;;
13.824;-0.7011479;0;;
13.826;-0.6998298;0;;
13.8308782;;;0.301417280291069;0.0280738587414677
13.845;-0.6558458;0;;
13.847;-0.6548317;0;;
13.869;-0.6118513;0;;
13.87;-0.6106149;0;;
13.89;-0.566002;0;;
13.891;-0.5656303;0;;
13.913;-0.521736;0;;
13.914;-0.5208961;0;;
13.915;-0.5207646;0;;
13.936;-0.4776049;0;;
13.957;-0.4314097;0;;
13.959;-0.4308701;0;;
13.979;-0.3883714;0;;
13.982;-0.3869192;0;;
14.008;-0.3436865;0;;
14.011;-0.3245191;0;;
14.024;-0.2994837;0;;
14.028;-0.2936299;0;;
14.049;-0.2547641;0;;
14.051;-0.2524675;0;;
14.074;-0.2088712;0;;
14.076;-0.2082036;0;;
14.078;-0.1883452;0;;
14.099;-0.1427434;0;;
14.101;-0.1407882;0;;
14.121;-0.09744751;0;;
14.123;-0.09603565;0;;
14.143;-0.0544397;0;;
14.146;-0.05176082;0;;
14.167;-0.007333837;0;;
14.169;-0.006920879;0;;
14.192;0.03353675;0;;
14.196;0.03763126;0;;
14.217;0.0808672;0;;
14.219;0.08289243;0;;
14.239;0.1251733;0;;
14.241;0.1270264;0;;
14.242;0.1272504;0;;
14.262;0.1711659;0;;
14.285;0.2145467;0;;
14.288;0.2163893;0;;
14.2890995;;;-0.457962683384585;-0.162156831839548
13.89;-0.566002;0;;
13.891;-0.5656303;0;;
13.913;-0.521736;0;;
13.914;-0.5208961;0;;
13.915;-0.5207646;0;;
13.936;-0.4776049;0;;
13.957;-0.4314097;0;;
13.959;-0.4308701;0;;
13.979;-0.3883714;0;;
13.982;-0.3869192;0;;
14.008;-0.3436865;0;;
14.011;-0.3245191;0;;
14.024;-0.2994837;0;;
14.028;-0.2936299;0;;
14.049;-0.2547641;0;;
14.051;-0.2524675;0;;
14.074;-0.2088712;0;;
14.076;-0.2082036;0;;
14.078;-0.1883452;0;;
14.099;-0.1427434;0;;
14.101;-0.1407882;0;;
14.121;-0.09744751;0;;
14.123;-0.09603565;0;;
14.143;-0.0544397;0;;
14.146;-0.05176082;0;;
14.167;-0.007333837;0;;
14.169;-0.006920879;0;;
14.192;0.03353675;0;;
14.196;0.03763126;0;;
14.217;0.0808672;0;;
14.219;0.08289243;0;;
14.239;0.1251733;0;;
14.241;0.1270264;0;;
14.242;0.1272504;0;;
14.262;0.1711659;0;;
14.285;0.2145467;0;;
14.288;0.2163893;0;;
14.306;0.2612902;0;;
14.308;0.2618312;0;;
14.309;0.261887;0;;
14.329;0.3049566;0;;
14.7468185;;;-0.463734281474575;-0.20675989485603
13.89;-0.566002;0;;
13.891;-0.5656303;0;;
13.913;-0.521736;0;;
13.914;-0.5208961;0;;
13.915;-0.5207646;0;;
13.936;-0.4776049;0;;
13.957;-0.4314097;0;;
13.959;-0.4308701;0;;
