circular (3)Cube6Timestamp;circular (3)Cube6XPos;circular (3)Cube6YPos;circular (3)Cube6newCorr;circular (3)Cube6smoothCorr
6.372;1.990299;-0.1967382;;
6.373;1.990307;-0.1966692;;
6.373;1.990308;-0.1966593;;
6.374;1.990309;-0.1966425;;
6.375;1.990309;-0.1966425;;
6.394;1.994136;-0.152954;;
6.395;1.994174;-0.1525218;;
6.395;1.994187;-0.1523682;;
6.396;1.994187;-0.1523682;;
6.416;1.995974;-0.126808;;
6.416;1.995985;-0.126642;;
6.417;1.995995;-0.1265099;;
6.4200231;;;0.114595017239743;0.323560446025142
6.416;1.995974;-0.126808;;
6.416;1.995985;-0.126642;;
6.417;1.995995;-0.1265099;;
6.438;1.997861;-0.09231842;;
6.438;1.997867;-0.09221555;;
6.44;1.997907;-0.09148496;;
6.44;1.997907;-0.09148496;;
6.459;1.999178;-0.05707602;;
6.46;1.999201;-0.0564516;;
6.461;1.999209;-0.05623584;;
6.461;1.99921;-0.05619875;;
6.48;1.999879;-0.02167148;;
6.482;1.999886;-0.02127738;;
6.482;1.999887;-0.02124495;;
6.483;1.999887;-0.02123032;;
6.502;1.999933;0.01576147;;
6.503;1.999934;0.01617915;;
6.504;1.999934;0.01624913;;
6.525;1.999712;0.03391341;;
6.547;1.997725;0.09536839;;
6.548;1.997725;0.09536839;;
6.549;1.997725;0.09536839;;
6.55;1.997725;0.09536839;;
6.571;1.99631;0.1214269;;
6.572;1.99631;0.1214269;;
6.572;1.99631;0.1214269;;
6.573;1.99631;0.1214269;;
6.574;1.99631;0.1214269;;
6.593;1.993879;0.1563058;;
6.593;1.993863;0.1565302;;
6.594;1.993849;0.1567315;;
6.614;1.990881;0.1907304;;
6.615;1.990844;0.1911512;;
6.616;1.990844;0.1911512;;
6.636;1.987214;0.2257241;;
6.638;1.987134;0.2264837;;
6.658;1.982954;0.2605328;;
6.659;1.982913;0.2608687;;
6.68;1.980567;0.2781206;;
6.68;1.980549;0.2782544;;
6.681;1.98054;0.2783162;;
6.682;1.980539;0.2783246;;
6.701;1.971074;0.3388499;;
6.706;1.971005;0.3392858;;
6.707;1.970998;0.3393306;;
6.711;1.970952;0.3396266;;
6.7233275;;;-0.0967012188629357;0.296628283137383
6.724;1.96644;0.3648283;;
6.725;1.966437;0.364846;;
6.726;1.966432;0.3648774;;
6.726;1.966354;0.3653114;;
6.746;1.959635;0.3997856;;
6.747;1.959635;0.3997856;;
6.748;1.959635;0.3997856;;
6.749;1.959635;0.3997856;;
6.768;1.954596;0.4237298;;
6.768;1.953619;0.428183;;
6.769;1.952587;0.4328884;;
6.77;1.952409;0.4337029;;
6.79;1.944347;0.4685079;;
6.791;1.944264;0.4688671;;
6.792;1.94425;0.4689268;;
6.793;1.944248;0.4689358;;
6.813;1.935983;0.5019524;;
6.814;1.935903;0.5022718;;
6.815;1.935884;0.5023468;;
6.835;1.931631;0.518452;;
6.837;1.931492;0.5189762;;
6.837;1.931481;0.5190184;;
6.838;1.931474;0.5190462;;
6.858;1.914462;0.5786487;;
6.858;1.914462;0.5786487;;
6.859;1.914462;0.5786487;;
6.86;1.914462;0.5786487;;
6.879;1.912123;0.5863296;;
6.88;1.907808;0.6001806;;
6.901;1.90158;0.6196685;;
6.902;1.89833;0.6294909;;
6.903;1.897217;0.6328543;;
6.923;1.890484;0.6527301;;
6.924;1.886052;0.665385;;
6.925;1.884417;0.6700528;;
6.926;1.884417;0.6700528;;
6.927;1.884417;0.6700528;;
6.946;1.878628;0.686113;;
6.947;1.873429;0.7001544;;
6.948;1.872619;0.702341;;
6.949;1.872399;0.7029344;;
6.967;1.866323;0.7189115;;
6.968;1.866268;0.7190567;;
6.969;1.861863;0.7303354;;
6.97;1.860182;0.7346405;;
6.989;1.853357;0.7517058;;
6.99;1.853266;0.7519335;;
6.991;1.853266;0.7519335;;
7.01;1.839964;0.7839109;;
7.01;1.839862;0.7841552;;
7.011;1.839799;0.784308;;
7.012;1.83979;0.7843301;;
7.013597;;;-0.00576476592733366;0.180350940586601
7.01;1.839964;0.7839109;;
7.01;1.839862;0.7841552;;
7.011;1.839799;0.784308;;
7.012;1.83979;0.7843301;;
7.031;1.825871;0.8161986;;
7.033;1.825712;0.8165624;;
7.034;1.8257;0.8165895;;
7.035;1.825695;0.8166014;;
7.063;1.803984;0.8634777;;
7.063;1.803861;0.8637427;;
7.064;1.803591;0.8643254;;
7.065;1.803591;0.8643254;;
7.076;1.79624;0.8794979;;
7.077;1.796127;0.8797301;;
7.078;1.79609;0.8798065;;
7.078;1.796089;0.8798089;;
7.098;1.780362;0.9112061;;
7.099;1.780222;0.9114857;;
7.099;1.780208;0.9115134;;
7.1;1.780175;0.9115794;;
7.119;1.764258;0.942007;;
7.12;1.764088;0.9423333;;
7.121;1.76406;0.9423851;;
7.14;1.747575;0.9726086;;
7.141;1.747397;0.9729345;;
7.142;1.747369;0.972985;;
7.162;1.729848;1.003798;;
7.163;1.729682;1.00409;;
7.164;1.72964;1.004164;;
7.164;1.729633;1.004176;;
7.183;1.712389;1.033301;;
7.185;1.71222;1.033586;;
7.186;1.712191;1.033635;;
7.206;1.694011;1.063154;;
7.227;1.675062;1.092766;;
7.228;1.67474;1.093269;;
7.249;1.655603;1.122029;;
7.25;1.655151;1.122709;;
7.271;1.635493;1.151157;;
7.272;1.635493;1.151157;;
7.272;1.635493;1.151157;;
7.273;1.635493;1.151157;;
7.293;1.62527;1.165544;;
7.294;1.617862;1.175778;;
7.294;1.617027;1.176932;;
7.3093814;;;-0.812056299839798;-0.199981816847581
7.316;1.604424;1.194076;;
7.317;1.604319;1.194219;;
7.317;1.604303;1.19424;;
7.318;1.604285;1.194265;;
7.319;1.60428;1.194272;;
7.338;1.563817;1.246763;;
7.339;1.563416;1.247283;;
7.339;1.563351;1.247367;;
7.34;1.563274;1.247467;;
7.359;1.558544;1.253372;;
7.36;1.558544;1.253372;;
7.36;1.554375;1.258522;;
7.361;1.551095;1.262573;;
7.381;1.539563;1.276613;;
7.382;1.539451;1.276749;;
7.382;1.532967;1.284497;;
7.383;1.527951;1.29049;;
7.404;1.516758;1.303627;;
7.404;1.509687;1.311781;;
7.405;1.50608;1.31594;;
7.423;1.49378;1.329893;;
7.424;1.493648;1.330043;;
7.425;1.493613;1.330083;;
7.426;1.493613;1.330083;;
7.445;1.471036;1.354994;;
7.446;1.470527;1.355556;;
7.447;1.470141;1.355981;;
7.449;1.470141;1.355981;;
7.466;1.446368;1.381304;;
7.467;1.446129;1.381559;;
7.468;1.446053;1.38164;;
7.468;1.446047;1.381646;;
7.488;1.415927;1.412489;;
7.489;1.415655;1.412768;;
7.489;1.415621;1.412803;;
7.509;1.396608;1.431599;;
7.51;1.396366;1.431839;;
7.51;1.396366;1.431839;;
7.511;1.396366;1.431839;;
7.531;1.371421;1.455749;;
7.532;1.371421;1.455749;;
7.532;1.371421;1.455749;;
7.533;1.371421;1.455749;;
7.552;1.346054;1.47923;;
7.554;1.34579;1.479475;;
7.555;1.345756;1.479506;;
7.555;1.345739;1.479522;;
7.575;1.319579;1.502895;;
7.576;1.319325;1.503123;;
7.576;1.319281;1.503162;;
7.577;1.319254;1.503186;;
7.597;1.293268;1.525596;;
7.598;1.29304;1.525792;;
7.599;1.292984;1.525841;;
7.6;1.292941;1.525878;;
7.6056676;;;-0.352121970155136;-0.316661063696301
7.597;1.293268;1.525596;;
7.598;1.29304;1.525792;;
7.599;1.292984;1.525841;;
7.6;1.292941;1.525878;;
7.619;1.279593;1.537088;;
7.62;1.279593;1.537088;;
7.621;1.279593;1.537088;;
7.64;1.223991;1.581701;;
7.641;1.2235;1.582095;;
7.642;1.223338;1.582226;;
7.642;1.223333;1.582229;;
7.643;1.223283;1.58227;;
7.662;1.211093;1.591619;;
7.663;1.210933;1.591742;;
7.664;1.210933;1.591742;;
7.664;1.210933;1.591742;;
7.684;1.196959;1.602275;;
7.684;1.182608;1.612898;;
7.685;1.182608;1.612898;;
7.706;1.153958;1.633513;;
7.707;1.153678;1.633715;;
7.708;1.153635;1.633746;;
