circCubeCube1Timestamp;circCubeCube1XPos;circCubeCube1YPos;circCubeCube1newCorr;circCubeCube1smoothCorr
0;;;0;0
6.313;0.4855655;1.419234;;
6.313;0.4938159;1.416371;;
6.315;0.4973716;1.415137;;
6.315;0.4973769;1.415136;;
6.316;0.4977702;1.414999;;
6.335;0.5220533;1.406213;;
6.336;0.5226135;1.40601;;
6.357;0.5348966;1.401385;;
6.358;0.5428337;1.398316;;
6.359;0.5474287;1.396539;;
6.36;0.5474287;1.396539;;
6.36;0.5474287;1.396539;;
6.36;0.5474287;1.396539;;
6.38;0.5596542;1.391685;;
6.38;0.5718524;1.386717;;
6.399;0.5838523;1.381707;;
6.399;0.5839285;1.381675;;
6.4;0.5840129;1.38164;;
6.401;0.5840129;1.38164;;
6.401;0.5840129;1.38164;;
6.42;0.6078649;1.37131;;
6.42;0.6080335;1.371237;;
6.421;0.6081589;1.371183;;
6.441;0.6319027;1.360401;;
6.441;0.6320751;1.360322;;
6.442;0.6321735;1.360278;;
6.442;0.6321904;1.36027;;
6.462;0.65547;1.349204;;
6.462;0.6556492;1.349118;;
