horizontalCube1Timestamp;horizontalCube1XPos;horizontalCube1YPos;horizontalCube1newCorr;horizontalCube1smoothCorr
5.776;-2;-2.743415;;
5.781;-2;-2.743415;;
5.793;-2;-2.719076;;
5.794;-2;-2.718697;;
5.794;-2;-2.718642;;
5.815;-2;-2.655349;;
5.816;-2;-2.654379;;
5.817;-2;-2.653959;;
5.818;-2;-2.653894;;
5.818;-2;-2.653884;;
5.837;-2;-2.609502;;
5.838;-2;-2.609021;;
5.839;-2;-2.608949;;
5.859;-2;-2.586764;;
5.8931639;;;-0.314960521719568;-0.159727236999323
5.949;-2;-2.4091;;
5.972;-2;-2.342258;;
5.973;-2;-2.341326;;
5.995;-2;-2.296879;;
5.995;-2;-2.296365;;
5.996;-2;-2.296365;;
5.997;-2;-2.296365;;
6.016;-2;-2.252248;;
6.017;-2;-2.25177;;
6.018;-2;-2.251673;;
6.019;-2;-2.251673;;
6.037;-2;-2.229603;;
6.038;-2;-2.229349;;
6.04;-2;-2.206395;;
6.04;-2;-2.206395;;
6.06;-2;-2.184626;;
6.061;-2;-2.166583;;
6.062;-2;-2.162506;;
6.062;-2;-2.161804;;
6.084;-2;-2.117997;;
6.085;-2;-2.117603;;
6.085;-2;-2.117536;;
6.086;-2;-2.117505;;
6.087;-2;-2.117496;;
6.106;-2;-2.094813;;
6.107;-2;-2.094813;;
6.108;-2;-2.094813;;
6.127;-2;-2.051315;;
6.128;-2;-2.032724;;
6.129;-2;-2.028235;;
6.13;-2;-2.028235;;
6.152;-2;-1.980524;;
6.153;-2;-1.979802;;
6.155;-2;-1.979138;;
6.156;-2;-1.978996;;
6.173;-2;-1.940541;;
6.178;-2;-1.939089;;
6.179;-2;-1.938896;;
6.18;-2;-1.938866;;
6.1949659;;;0.393245865015826;0.133248230001389
6.199;-2;-1.894299;;
6.21;-2;-1.893731;;
6.21;-2;-1.893725;;
6.211;-2;-1.893719;;
6.212;-2;-1.859881;;
6.221;-2;-1.849687;;
6.222;-2;-1.849687;;
6.222;-2;-1.849687;;
6.223;-2;-1.849687;;
6.243;-2;-1.805465;;
6.244;-2;-1.804921;;
6.245;-2;-1.804921;;
6.264;-2;-1.782535;;
6.265;-2;-1.782302;;
6.265;-2;-1.782262;;
6.286;-2;-1.71656;;
6.287;-2;-1.71565;;
6.288;-2;-1.71514;;
6.289;-2;-1.715034;;
